id,zone,name,bearing,longitude,latitude
6,CBD,Anson Road,41.722633985199955,103.844315362385,1.27317443818723
36,AY1,AYE to City before Alexandra Road,121.29358522564915,103.795725547986,1.28740121634148
66,SR2,Bayfront Ave towards Raffles Ave,2.016954657734796,103.860698748752,1.28548763271934
69,SR1,Bayfront Avenue towards Marina Boulevard,-178.32578291502927,103.860883785816,1.28548223255279
16,BMC,Beach Road,-134.2105624324085,103.857814112006,1.29818877827984
9,BMC,Bencoolen Street,-141.6142416655072,103.853607815326,1.30288451574635
40,OR1,Bendemeer Road,-148.79502459478434,103.86842,1.32735
54,BKE,Bt Timah Expressway (Sb betw Dairy Farm Rd & PIE),124.5780555964817,103.785584072373,1.35497619417284
21,OC1,Buyong Road,14.172187453480982,103.843117571359,1.30053526292666
27,OC1,Cairnhill Road,-119.52535289394493,103.837475783768,1.30566826762847
28,CBD,Central Boulevard,-58.00468864702904,103.860046114474,1.27470727515891
74,AYC,Citybound AYE After Jurong Town Hall,140.90327008647623,103.75874,1.31633
26,OC1,Clemenceau Ave,-2.5132553516438123,103.843762372922,1.29783327881683
53,AYC,Clementi Avenue 2 into AYE (City),-156.91607441912234,103.76641,1.30882
52,AYC,Clementi Avenue 6 into AYE (City),-168.97290687854053,103.76085,1.31514
31,CT1,CTE after Braddell Road,177.64399780181807,103.8623389,1.3336493
35,CT4,CTE before Braddell Road,157.54247206825784,103.859544595156,1.34630898728722
34,CT1,CTE from Balestier Road,-84.7421988680385,103.85211100924,1.31845461108959
33,CT1,CTE from Serangoon Road,-87.28597659470461,103.864570397885,1.32910418687177
46,CT5,CTE Northbound after PIE,-3.1876077302466963,103.862214,1.332773
51,CT6,CTE Northbound before exit to PIE,46.97972668122562,103.860595050264,1.3261603219109
68,CT2,CTE Slip Road to PIE (Changi) / Serangoon Road,175.53180277390166,103.8624764,1.3336474
43,DZ1,Dunearn Road / Wayang Satu Flyover,109.39985310466574,103.823355598617,1.32167523048838
44,DZ1,Dunearn Road / Whitley Road,107.28875098433414,103.825323756791,1.32113469831557
73,EC3,ECP Eastbound before exit to KPE,86.17864316851556,103.87229,1.29551
30,EC1,ECP to City,-94.88748409770047,103.8767,1.29527
3,CBD,Eu Tong Sen Street,40.9183997763666,103.840499538657,1.28096603435063
60,SR2,Eu Tong Seng Street at Central,37.70001021271296,103.847470112542,1.28923743019218
49,OC2,Fort Canning Tunnel,-52.554728470678114,103.846373081041,1.29776731983024
63,SR2,Fullerton Road eastbound at Fullerton Hotel,22.200657697565248,103.853618191657,1.28613925827856
64,SR1,Fullerton Road westbound at One Fullerton,-163.23335404095778,103.853716359531,1.28600751718741
58,GBZ,Geylang Bahru,-32.290587624420844,103.871637787947,1.32036043005917
70,KAL,Geylang Road,-85.64636635588165,103.870748807066,1.31007643753997
19,CBD,Havelock Road/Clemenceau Ave,119.69067383588178,103.841601506306,1.28845017923826
20,CBD,Havelock Road/CTE Exit,107.70556475159646,103.8427785,1.2877866
57,KBZ,Kallang Bahru,-120.33933418169471,103.872905099004,1.32197490315522
15,OC1,Killiney Road,-140.31032197920675,103.839716951288,1.29937578008594
50,KP2,KPE Southbound after Defu Flyover,-146.45575980286404,103.90342026314386,1.359544930873536
80,KP1,KPE Southbound exit to ECP (City),-106.4701519880857,103.875221773091,1.29379824000824
22,OC1,Kramat Road,-73.58058553779449,103.842011763745,1.30160724766252
5,CBD,Lim Teck Kim Road,92.34265722385055,103.84187672392,1.27348399548328
92,MC2,Marina Boulevard to MCE Eastbound,41.68384291612533,103.865887487548,1.27496985429834
29,CBD,Maxwell Road,-36.31592110827845,103.850069988084,1.27460393692601
93,MC2,MCE Eastbound before exit to Central Boulevard,122.68276364396156,103.855595940993,1.27154613148219
91,MC1,MCE Westbound before exit to Maxwell Road,-56.815968664555484,103.855558395745,1.27134909878131
90,MC1,MCE Westbound exit to Marina Coastal Drive,-124.55545209896563,103.867386551138,1.27504001092194
24,CBD,Merchant Road/Clemenceau Ave,115.46603209162558,103.84240226069,1.29004484661211
25,CBD,Merchant Road/CTE Exit,129.63738878647644,103.844212960053,1.2888685244196
61,SR1,New Bridge Road before Upper Circular Road,-142.52132312944335,103.847742558347,1.28930308488518
2,BMC,Nicoll Highway,-126.19782818593715,103.861979622368,1.29976190692111
11,BMC,North Bridge Road,-143.7994384537196,103.856513020817,1.29968660774609
4,OC1,Orchard Link,27.538499716642875,103.834915244616,1.30053587537632
13,OC1,Orchard Road,118.86407073250948,103.832410370474,1.30472626154639
48,OC3,Orchard Road after Handy Road,86.76760160567567,103.847814431076,1.29872030869066
47,OC2,Orchard Road after YMCA,-49.68431326827977,103.847854469115,1.2981570501332
14,OC1,Orchard Turn,40,103.8326368,1.3035386
12,OC1,Oxley Road,-164.14561409703782,103.841360584573,1.29917050409445
32,PE1,PIE after Kallang Bahru on Woodsville Flyover,-42.0550185753397,103.870532957615,1.32632947958352
42,PE3,PIE into CTE,-84.64502029640211,103.86457345379,1.32897426417223
45,PE1,PIE slip road to Bendemeer Road,-46.03730597727348,103.87041,1.32622
38,PE2,PIE to Changi / Whitley Road,110.13406980392529,103.829176882637,1.32729264502703
37,PE2,PIE to Changi after Adam Road Exit,115.66758009395474,103.820069683038,1.33059597770337
67,CT5,PIE to CTE Northbound before Braddell Road,-0.5340200303399151,103.8619446,1.3334396
65,PE4,PIE westbound before Eunos Link,-115.73077393824278,103.912442043008,1.32898761576127
10,BMC,Queen Street,-138.83949814984834,103.8549538293,1.30130150713318
18,BMC,Republic Boulevard,156.0402923903824,103.862455096768,1.2959498515267
23,BMC,River Valley Road,123.56037830961176,103.843858729201,1.29295672712952
72,CBD,Sheares Avenue towards Sheares Link,-172.46117433750413,103.8615171,1.2842371
62,SR1,South Bridge Road before Upper Circular Road,-148.33370886279056,103.848870707579,1.28837230469095
7,CBD,Tanjong Pagar Road,11.890206170198928,103.843088804269,1.27297680515358
17,BMC,Temasek Boulevard,-65.90208435921043,103.860014893734,1.2960690982143
39,THM,Thomson Road after Toa Payoh Rise,-178.69634898315275,103.83729764431,1.33727678080648
56,TPZ,Toa Payoh Lorong 6,-158.05049573212443,103.853256089,1.34062171746891
41,AYT,Tuasbound AYE After North Buona Vista,-59.58342247655073,103.77648,1.30122
59,BKZ,Upper Boon Keng Road,-103.15370657475293,103.870020071292,1.31351569478552
55,UBT,Upper Bt Timah Rd Southbound after Hume Ave,167.02489052160502,103.769678291571,1.35326083005851
1,BMC,Victoria Street,40.93287958136703,103.855723720646,1.30048971651456
71,OR1,Woodsville Tunnel,-171.37552172951453,103.86804,1.32567
